Ticker,Current Price,Support Level,Proximity %,RSI,Market Cap,Trend Score,Drop %,Drop Type,Technical Score,Fundamental Score,Overall Score
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ABT,123.67,122.83,0.69,27.24,215.17,0,10.03,Overreaction,17.22,75,184.44
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
ACN,282.44,276.84,2.02,37.28,175.92,0,11.99,unclear,35.74,75,110.74
